,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
9437,CN-020,DELL PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,DELLS,DELLS,,20210701,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,9.0,71.10000000000001,0.0,38.53,32.57,71.10000000000001,0.0,,0.5419127988748241,7.900000000000001,,,2021-08-05 07:35:11.0
9438,CN-020,DELL PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,DELLS,DELLS,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,10.0,82.94,0.0,49.82,33.12,82.94,0.0,,0.6006751868820834,8.294,,,2021-08-09 05:03:41.0
9439,CN-032,HERSHEYS SHA KQ0 WHS,CR,快消/零售行业事业部,HERSH,HERSH,,20210710,202128,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,7.0,75.35,54.0,21.35,0.0,75.35,0.0,,0.283344392833444,10.764285714285714,,,2021-08-09 05:03:41.0
9440,CN-051,NOKIA-HWS PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,HWSXX,HWSXX,,20210724,202130,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,7.0,65.76,0.0,65.76,0.0,65.76,0.0,,1.0,9.394285714285717,,,2021-08-09 05:03:41.0
9441,CN-057,PERNOD-RIC SHA WGQ WHS,CR,快消/零售行业事业部,PERNO,PERNO,,20210705,202128,202107,202103,2021,0,3.0,,,,,,275.0,745.0,437946.0,437946.0,8845413506.855001,5445640.49,,,,,,,,44.0,455.4,195.91,229.72,29.77,447.63000000000005,7.77,,0.5044356609574,10.35,,,2021-08-05 07:35:11.0
9442,CN-065,STARBUCKS PEK XXX WHS,CR,快消/零售行业事业部,STARB,STARB,19704.0,20210524,202122,202105,202102,2021,0,,,,,,,419.0,,,,,,,,,,,,,,,,,,,,,,,,,2021-08-05 07:35:11.0
9443,CN-075,VOLVO SHA YX0 WHS,Auto,汽车行业事业部,VOLVO,VOLVO,,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,40.0,477.34,369.0,108.34,0.0,466.71,10.63,,0.2269661038253655,11.9335,,,2021-08-05 07:35:11.0
9444,CN-085,COACH SHA WGQ WHS,CR,快消/零售行业事业部,COACH,COACH,20026.0,20210712,202129,202107,202103,2021,0,9.0,21.0,2189.0,2189.0,4245332.0,8.828,48.0,690.0,40399.0,40391.0,292545255.0,,,,1162.0,6492.0,58985.0,0.0,46071.0,,,,,,,,18.451804476930104,,,0.05802456806152,0.94197543193848,2021-08-10 09:30:35.0
9445,CN-091,KLA-TENCOR PEK XW0 WHS,TSC,高科技/备件物流/化工行业事业部,KLATE,KLATE,,20210619,202125,202106,202102,2021,1,,,,,,,,,,,,,,,,,,,,2.0,16.7,0.0,16.7,0.0,12.5,4.2,,1.0,8.35,,,2021-08-05 07:35:11.0
9446,CN-130,ABBOTT CAN HD0 WHS,LSH,生命科学与医疗行业事业部,ABBOT,ABBOT,2121.0,20210713,202129,202107,202103,2021,0,7.0,121.0,526.0,526.0,1990169.8581,152.39070000000004,20.0,116.0,13928.0,13928.0,54423159.4276,,,,797.0,1721.0,378080.0,0.0,11834.0,,,,,,,,26.47908745247148,,,0.3757661480433757,0.6242338519566242,2021-08-10 09:30:35.0
9447,CN-149,HONEYWELL TSN XXX WHS,EM,工业与制造行业事业部,HONEY,HONEY,2787.0,20210601,202123,202106,202102,2021,0,,,,,,,13.0,264.0,2750.0,2739.0,273.8999999999999,,,,270.0,456.0,17985.0,0.0,2187.0,,,,,,,,,,,0.0968783638320775,0.9031216361679224,2021-08-05 07:35:11.0
9448,CN-152,MARS JIA XXX WHS,CR,快消/零售行业事业部,MARSX,MARSX,13689.0,20210623,202126,202106,202102,2021,0,312.0,991.0,13945332.0,12733330.0,860042.0846,300.2311000000001,602.0,2643.0,4124770.0,4049120.0,474501.41100000014,,,,1548.0,2967.0,25744120.0,0.0,954071.0,59.0,512.03,411.0,101.03,0.0,503.73,8.3,0.3179938005219373,0.1973126574614769,8.678474576271187,0.1130834976988823,0.8869165023011176,2021-08-05 07:35:11.0
9449,CN-153,ERICSSON CAN HP0 WHS,TSC,高科技/备件物流/化工行业事业部,ERISL,ERISL,,20210719,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,13.0,149.91,100.33,49.58,0.0,149.91,0.0,,0.3307317723967714,11.531538461538462,,,2021-08-09 05:03:41.0
9450,CN-154,BURBERRY SHA DQ0 WHS,CR,快消/零售行业事业部,BURBY,BURBY,,20210623,202126,202106,202102,2021,0,,,,,,,,,,,,,,,,,,,,29.0,279.96000000000004,126.3,153.65999999999997,0.0,279.96000000000004,0.0,,0.5488641234462064,9.653793103448278,,,2021-08-05 07:35:11.0
9451,CN-163,ZEBRA SHA PVG WHS,TSC,高科技/备件物流/化工行业事业部,ZEBRA,ZEBRA,3540.0,20210712,202129,202107,202103,2021,0,13.0,8.0,5639.0,5639.0,0.0,0.0,4.0,6.0,951.0,951.0,0.0,0.0,,,,,,,,,,,,,,,0.1686469232133357,,,,,2021-08-10 09:30:35.0
9452,CN-177,FUJI-XEROX CKG XXX WHS,TSC,高科技/备件物流/化工行业事业部,FUJIX,FUJIX,272.0,20210805,202132,202108,202103,2021,0,1.0,1.0,1.0,1.0,780.0,130.0,37.0,56.0,70.0,70.0,568.3873799999999,85.25400000000002,,,158.0,0.0,92968.0,0.0,0.0,,,,,,,,70.0,,,0.5808823529411765,0.4191176470588235,2021-08-10 09:30:35.0
9453,CN-183,ASML XIY XXX WHS,TSC,高科技/备件物流/化工行业事业部,ASMLX,ASMLX,,20210728,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,12.0,122.7,8.25,114.45,0.0,106.23,16.47,,0.9327628361858192,10.225,,,2021-08-09 05:03:41.0
9454,CN-205,MARS TSN XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,,20210805,202132,202108,202103,2021,0,,,,,,,,,,,,,,,,,,,,10.0,100.91,22.49,78.42,0.0,100.91,0.0,,0.777128133980775,10.091,,,2021-08-09 05:03:41.0
9455,CN-205,MARS TSN XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,,20210808,202132,202108,202103,2021,1,,,,,,,,,,,,,,,,,,,,2.0,24.37,12.27,12.1,0.0,24.37,0.0,,0.4965121050471892,12.185,,,2021-08-09 05:03:41.0
9456,CN-209,THERMO-FIS SHA WGQ WHS,LSH,生命科学与医疗行业事业部,THERM,THERM,9991.0,20210623,202126,202106,202102,2021,0,85.0,89.0,342517.0,342517.0,3393.0600000000004,2782.741000000002,100.0,130.0,503572.0,503572.0,4427.308000000002,,,,308.0,439.0,1487857.0,0.0,4077.0,16.0,184.08,66.5,117.58,0.0,175.32999999999998,8.75,1.4702102377400246,0.6387440243372448,11.505,0.0308277449704734,0.9691722550295264,2021-08-05 07:35:11.0
9457,CN-209,THERMO-FIS SHA WGQ WHS,LSH,生命科学与医疗行业事业部,THERM,THERM,9991.0,20210807,202132,202108,202103,2021,1,11.0,12.0,22.0,20.0,0.1099999999999999,33.07,1.0,1.0,24.0,24.0,0.24,,,,5413.0,10756.0,45869461.0,0.0,1422.0,,,,,,,,1.2,,,0.5417876088479632,0.4582123911520368,2021-08-10 09:30:35.0
9458,CN-225,MARS JIA XXX PKG,CR,快消/零售行业事业部,MARSX,MARSX,,20210620,202125,202106,202102,2021,1,,,,,,,,,,,,,,,,,,,,1.0,8.0,8.0,0.0,0.0,8.0,0.0,,0.0,8.0,,,2021-08-05 07:35:11.0
