ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75
CN-002,20210611,2338,2,440.3743781,3214,1,2569.836639,41.07,0,40.84556187,-0.224,1.374679213,8.214,5,0,56.75,40.53,41.07,44.146,41.483416,41.69,-0.224,0.010066131,0.015096177
CN-002,20210617,174,2,440.3743781,1227,1,2569.836639,41.69,0,40.84556187,-0.844,7.051724138,8.338,5,0,56.75,40.53,41.07,44.146,41.483416,41.69,-0.844,-0.004955241,0
CN-002,20210608,6,2,440.3743781,4176,1,2569.836639,40.69,0,40.84556187,0.156,696,8.138,5,0,56.75,40.53,41.07,44.146,41.483416,41.69,0.156,0.019499042,0.024576063
CN-002,20210701,6,2,440.3743781,0,-1,0,41.57,0,40.84556187,-0.724,0,8.314,5,0,41.57,41.57,41.57,41.57,41.57,41.57,-0.724,0,0
CN-002,20210616,198,2,440.3743781,6439,1,2569.836639,40.53,0,40.84556187,0.316,32.52020202,8.106,5,0,56.75,40.53,41.07,44.146,41.483416,41.69,0.316,0.023523711,0.028620775
CN-002,20210706,1,2,440.3743781,3870,1,2569.836639,56.75,1,56.56003617,-0.19,3870,11.35,5,0,56.75,40.53,41.07,44.146,41.483416,41.69,-0.19,-0.269014696,-0.265374449
CN-002,20210623,13317,3,16579.17664,17891,0,17875.93011,40.59,0,40.84556187,0.256,1.343470752,8.118,5,0,40.59,40.59,40.59,40.59,40.59,40.59,0.256,0,0
CN-002,20210709,16970,3,16579.17664,286,1,2569.836639,56.85,1,56.56003617,-0.29,0.01685327,11.37,5,0,56.85,40.66,48.755,48.755,51.453873,52.8025,-0.29,-0.094918681,-0.07119613
CN-002,20210702,18438,3,16579.17664,2545,1,2569.836639,40.66,0,40.84556187,0.186,0.138030155,8.132,5,0,56.85,40.66,48.755,48.755,51.453873,52.8025,0.186,0.265466626,0.298635022
CN-002,20210628,9020,0,8219.066,12284,2,11541.62013,40.55,0,40.84556187,0.296,1.361862528,8.11,5,0,40.55,40.55,40.55,40.55,40.55,40.55,0.296,0,0
