ou_code,operation_day,inbound_receive_qty,kernal_core1,kernal_value1,outbound_shipped_qty,kernal_core2,kernal_value2,total_working_hour,kernal_core3,kernal_value3,dis_core,outbound_inbound_qty_ratio,working_hour_per_head,total_head_count,is_holiday,max_wh,min_wh,median_wh,mean_wh,qt_66_wh,qt_75_wh,d_to_core_outer,percent_error_66,percent_error_75,inc_day
CN-002,20210608,6.0,2,440.3743781094527,4176.0,1,2569.836639439907,40.69,0,40.84556186868688,0.156,696.0,8.138,5.0,0,56.75,40.53,41.07,44.146,41.483416,41.69,0.156,0.01949904153354634,0.024576062914721062,20210811
CN-002,20210701,6.0,2,440.3743781094527,0.0,-1,0.0,41.56999999999999,0,40.84556186868688,-0.724,0.0,8.313999999999998,5.0,0,41.56999999999999,41.56999999999999,41.56999999999999,41.56999999999999,41.56999999999999,41.56999999999999,-0.724,0.0,0.0,20210811
CN-002,20210616,198.0,2,440.3743781094527,6439.0,1,2569.836639439907,40.53,0,40.84556186868688,0.316,32.52020202020202,8.106,5.0,0,56.75,40.53,41.07,44.146,41.483416,41.69,0.316,0.02352371083148278,0.028620774734764286,20210811
CN-002,20210706,1.0,2,440.3743781094527,3870.0,1,2569.836639439907,56.75,1,56.56003616636529,-0.19,3870.0,11.35,5.0,0,56.75,40.53,41.07,44.146,41.483416,41.69,-0.19,-0.2690146960352423,-0.26537444933920706,20210811
CN-002,20210623,13317.0,3,16579.17663817664,17891.0,0,17875.930107526885,40.59,0,40.84556186868688,0.256,1.3434707516707969,8.118,5.0,0,40.59,40.59,40.59,40.59,40.59,40.59,0.256,0.0,0.0,20210811
CN-002,20210709,16970.0,3,16579.17663817664,286.0,1,2569.836639439907,56.85000000000001,1,56.56003616636529,-0.29,0.0168532704773129,11.37,5.0,0,56.85000000000001,40.66,48.755,48.755,51.453873,52.80250000000001,-0.29,-0.09491868073878638,-0.0711961301671064,20210811
CN-002,20210702,18438.0,3,16579.17663817664,2545.0,1,2569.836639439907,40.66,0,40.84556186868688,0.186,0.1380301551144375,8.132,5.0,0,56.85000000000001,40.66,48.755,48.755,51.453873,52.80250000000001,0.186,0.26546662567634055,0.29863502213477655,20210811
CN-002,20210628,9020.0,0,8219.066000000003,12284.0,2,11541.62012987013,40.55,0,40.84556186868688,0.296,1.3618625277161862,8.11,5.0,0,40.55,40.55,40.55,40.55,40.55,40.55,0.296,0.0,0.0,20210811
CN-002,20210607,6779.0,0,8219.066000000003,572.0,1,2569.836639439907,41.55,0,40.84556186868688,-0.704,0.0843782268771205,8.309999999999999,5.0,0,41.55,41.55,41.55,41.55,41.55,41.55,-0.704,0.0,0.0,20210811
CN-002,20210610,9840.0,0,8219.066000000003,16545.0,0,17875.930107526885,55.83,1,56.56003616636529,0.73,1.6814024390243902,11.166,5.0,0,55.83,40.86,48.345,48.345,50.840498999999994,52.0875,0.73,-0.08936953250940362,-0.06703385276732939,20210811
CN-002,20210615,7260.0,0,8219.066000000003,18934.0,0,17875.930107526885,40.86,0,40.84556186868688,-0.014,2.6079889807162533,8.172,5.0,0,55.83,40.86,48.345,48.345,50.840498999999994,52.0875,-0.014,0.24426086637298078,0.2747797356828194,20210811
CN-002,20210705,32736.0,1,30298.346153846152,11341.0,2,11541.62012987013,40.650000000000006,0,40.84556186868688,0.196,0.3464381720430107,8.13,5.0,0,40.650000000000006,40.650000000000006,40.650000000000006,40.650000000000006,40.650000000000006,40.650000000000006,0.196,0.0,0.0,20210811
CN-002,20210621,27541.0,1,30298.346153846152,785.0,1,2569.836639439907,41.45,0,40.84556186868688,-0.604,0.028502959224429,8.290000000000001,5.0,0,41.45,41.45,41.45,41.45,41.45,41.45,-0.604,0.0,0.0,20210811
CN-003,20210614,0.0,-1,0.0,0.0,-1,0.0,12.43,1,19.06010101010101,6.63,0.0,12.43,1.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,6.63,3.6246819790828644,4.943483507642799,20210811
CN-003,20210703,0.0,-1,0.0,0.0,-1,0.0,10.63,1,19.06010101010101,8.43,0.0,10.63,1.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,8.43,4.407788993414863,5.9499059266227645,20210811
CN-003,20210613,0.0,-1,0.0,0.0,-1,0.0,24.41,1,19.06010101010101,-5.35,0.0,12.205,2.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,-5.35,1.3549691519868907,2.026526013928718,20210811
CN-003,20210606,0.0,-1,0.0,0.0,-1,0.0,73.96000000000001,2,81.04047732696897,7.08,0.0,9.245,8.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,7.08,-0.22275828826392652,-0.0011154678204436212,20210811
CN-003,20210627,0.0,-1,0.0,0.0,-1,0.0,24.72,1,19.06010101010101,-5.66,0.0,12.36,2.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,-5.66,1.3254367718446602,1.9885720064724919,20210811
CN-003,20210701,0.0,-1,0.0,17293.0,0,25189.459497206703,102.43,3,104.37869318181816,1.949,0.0,11.381111111111112,9.0,0,102.43,95.26,98.845,98.845,100.040239,100.6375,1.949,-0.023330674607048785,-0.017499755930879664,20210811
CN-003,20210612,0.0,-1,0.0,0.0,-1,0.0,24.57,1,19.06010101010101,-5.51,0.0,12.285,2.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,-5.51,1.3396335775335775,2.0068172568172566,20210811
CN-003,20210710,0.0,-1,0.0,99784.0,3,95639.74568965517,110.29,3,104.37869318181816,-5.911,0.0,12.254444444444443,9.0,1,110.29,83.7,96.995,96.995,101.427553,103.64250000000001,-5.911,-0.0803558527518361,-0.06027291685556255,20210811
CN-003,20210626,0.0,-1,0.0,83541.0,3,95639.74568965517,83.7,2,81.04047732696897,-2.66,0.0,11.957142857142856,7.0,1,110.29,83.7,96.995,96.995,101.427553,103.64250000000001,-2.66,0.21179872162485067,0.23826164874551983,20210811
CN-003,20210620,0.0,-1,0.0,0.0,-1,0.0,73.85,2,81.04047732696897,7.19,0.0,12.308333333333332,6.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,7.19,-0.2216005822613405,0.00037237643872719585,20210811
CN-003,20210619,0.0,-1,0.0,0.0,-1,0.0,91.96,0,94.15625585023402,2.196,0.0,13.137142857142855,7.0,1,91.96,10.63,24.645,42.06625,57.484797,73.8775,2.196,-0.3748934645498042,-0.19663440626359283,20210811
CN-003,20210705,0.0,-1,0.0,27941.0,0,25189.459497206703,95.26,0,94.15625585023402,-1.104,0.0,10.584444444444443,9.0,0,102.43,95.26,98.845,98.845,100.040239,100.6375,-1.104,0.05018096787738814,0.05645076632374551,20210811
CN-003,20210618,56490.0,3,39949.88503253796,14449.0,0,25189.459497206703,78.26,2,81.04047732696897,2.78,0.2557797840325721,11.18,7.0,0,94.56,78.26,92.08,88.3,92.906832,93.32,2.78,0.1871560439560438,0.1924354715052388,20210811
CN-003,20210628,53387.0,3,39949.88503253796,35293.0,0,25189.459497206703,94.56,0,94.15625585023402,-0.404,0.6610785397194073,10.506666666666666,9.0,0,94.56,78.26,92.08,88.3,92.906832,93.32,-0.404,-0.01748274111675135,-0.013113367174280976,20210811
CN-003,20210610,258.0,3,39949.88503253796,71621.0,2,64403.94736842105,85.02999999999999,2,81.04047732696897,-3.99,277.6007751937984,10.628749999999998,8.0,0,91.46,85.02999999999999,88.24499999999999,88.24499999999999,89.316881,89.85249999999999,-3.99,0.050416100199929544,0.05671527696107263,20210811
CN-003,20210617,31200.0,3,39949.88503253796,25383.0,0,25189.459497206703,92.08,0,94.15625585023402,2.076,0.8135576923076923,11.51,8.0,0,94.56,78.26,92.08,88.3,92.906832,93.32,2.076,0.008979496090356169,0.013466550825369189,20210811
CN-003,20210625,53706.0,3,39949.88503253796,54494.0,2,64403.94736842105,91.46,0,94.15625585023402,2.696,1.014672476073437,11.4325,8.0,0,91.46,85.02999999999999,88.24499999999999,88.24499999999999,89.316881,89.85249999999999,2.696,-0.023432309206210353,-0.017575989503608155,20210811
CN-003,20210629,79702.0,1,101158.38772213247,26435.0,0,25189.459497206703,95.03,0,94.15625585023402,-0.874,0.3316729818574189,10.55888888888889,9.0,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-0.874,0.00610355677154585,0.006655792907502822,20210811
CN-003,20210708,116106.0,1,101158.38772213247,29372.0,0,25189.459497206703,95.82,0,94.15625585023402,-1.664,0.2529757290751555,10.646666666666668,9.0,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-1.664,-0.0021913901064494878,-0.0016437069505322362,20210811
CN-003,20210622,121579.0,1,101158.38772213247,22417.0,0,25189.459497206703,95.3,0,94.15625585023402,-1.144,0.1843821712631293,10.588888888888889,9.0,0,95.82,95.03,95.455,95.44,95.610021,95.6625,-1.144,0.003253105981112341,0.003803777544595983,20210811
