,ou_code,ou_name,bg_code,bg_name_cn,customer_id,customer_name,total_storage_location_count,operation_day,week,month,quarter,year,is_holiday,inbound_header_count,inbound_line_count,inbound_line_original_qty,inbound_receive_qty,inbound_receive_volume,inbound_receive_weight,outbound_header_count,outbound_line_count,outbound_line_original_qty,outbound_shipped_qty,outbound_shipped_volume,outbound_shipped_weight,outbound_std_shipped_volume,outbound_std_shipped_weight,used_storage_location_count,active_lpn_count,on_hand_qty,in_transit_qty,allocated_qty,total_head_count,total_working_hour,outsource_working_hour,perm_working_hour,other_working_hour,direct_working_hour,indirect_working_hour,outbound_inbound_qty_ratio,perm_working_hour_ratio,working_hour_per_head,location_usage_rate,location_idle_rate,update_time
4045,CN-066,STARBUCKS DGM XXX WHS,CR,快消/零售行业事业部,STARB,STARB,18805,20210717,202129,202107,202103,2021,1,6,24,42424,39904,240234.3652,33.4063,1073,15803,80405,80405,196103.0047,,,,7384,34415,2821800,0,174078,,,,,,,,2.014960906,,,0.392661526,0.607338474,2021/8/5
4046,CN-084,HUAWEI-VMI DGM SSH WHS,TSC,高科技/备件物流/化工行业事业部,HUAWE,HUAWE,,20210715,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,13,118.5,69,49.5,0,118.5,0,,0.417721519,9.115384615,,,2021/8/5
4047,CN-110,UNILEVER CTU XXX WHS,CR,快消/零售行业事业部,UNIMK,UNIMK,1367,20210729,202131,202107,202103,2021,0,22,277,1833,1379,1.215,135.75,,,,,,,,,689,0,920160,0,0,2,16.53,16.53,0,0,16.53,0,0,0,8.265,0.504023409,0.495976591,2021/8/5
4048,CN-114,MOLEX SHA WGQ WHS,TSC,高科技/备件物流/化工行业事业部,MOLEX,MOLEX,996,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,11,96.79,0,96.79,0,96.79,0,,1,8.799090909,,,2021/8/5
4049,CN-118,GARRETT SHA CL0 WHS,EM,工业与制造行业事业部,HONEY,HONEY,,20210731,202131,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,4,34.5,34.5,0,0,34.5,0,,0,8.625,,,2021/8/5
4050,CN-202,HARLEY-DAV SHA XXX WHS,Auto,汽车行业事业部,HARLE,HARLE,12706,20210710,202128,202107,202103,2021,1,41,,,,,,,,,,,,,,,,,,,2,27.05,0,27.05,0,27.05,0,,1,13.525,,,2021/8/5
4051,CN-202,HARLEY-DAV SHA XXX WHS,Auto,汽车行业事业部,HARLE,HARLE,12706,20210719,202130,202107,202103,2021,0,2,,,,,,,,,,,,,,3648,6816,40600,821,823,4,28.55,0,28.55,0,28.55,0,,1,7.1375,0.287108453,0.712891547,2021/8/5
4052,CN-218,,,,,,,20210731,202131,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,9.02,0,9.02,0,9.02,0,,1,9.02,,,2021/8/5
4053,CN-219,KLA-Tencor Wuhan WHS,TSC,高科技/备件物流/化工行业事业部,KLATE,KLATE,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,4,36.1,0,36.1,0,36.1,0,,1,9.025,,,2021/8/5
4054,CN-243,JMC TSN XXX WHS,Auto,汽车行业事业部,JMCXX,JMCXX,,20210717,202129,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,9,0,9,0,9,0,,1,9,,,2021/8/5
4055,CN-259,ASML NKG XXX WHS,TSC,高科技/备件物流/化工行业事业部,ASMLX,ASMLX,,20210711,202128,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,2,20.91,0,20.91,0,20.91,0,,1,10.455,,,2021/8/5
4056,CN-265,MARY-KAY HGH XXX WHS,CR,快消/零售行业事业部,MARYK,MARYK,23073,20210706,202128,202107,202103,2021,0,42,160,768023,768023,8426630.313,23.905,5596,23488,202937,932097,11800000,,,,291,911,4655318,900,2272,36,335.98,295.92,40.06,0,335.98,0,1.213631623,0.119233288,9.332777778,0.012612144,0.987387856,2021/8/5
4057,CN-279,HUAWEI-MAI DGM XXX WHS,TSC,高科技/备件物流/化工行业事业部,HUAWE,HUAWE,,20210725,202130,202107,202103,2021,1,,,,,,,,,,,,,,,,,,,,1,15.02,0,15.02,0,15.02,0,,1,15.02,,,2021/8/5
4058,CN-296,LUCKIN PEK XXX WHS,CR,快消/零售行业事业部,LUCKI,LUCKI,14645,20210707,202128,202107,202103,2021,0,386,404,32852,32740,195000000,866.215,459,11191,28048,28048,200000000,,,,669,3136,239407,0,12625,24,263.63,211.13,52.5,0,263.63,0,0.856689065,0.199142738,10.98458333,0.04568112,0.95431888,2021/8/5
4059,CN-305,ECCO SHA XXX WHS,CR,快消/零售行业事业部,ECCOX,ECCOX,3113,20210727,202131,202107,202103,2021,0,6,72,84,84,,,202,1316,2156,2156,0,0,,,46084,7144,1116969,38928,38938,23,261.5,208,53.5,0,261.5,0,25.66666667,0.20458891,11.36956522,14.80372631,-13.80372631,2021/8/5
4060,CN-314,SGMW-PDC XIY XXX WHS,Auto,汽车行业事业部,SGMWA,SGMWA,,20210712,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,11,90.59,82.29,8.3,0,90.59,0,,0.091621592,8.235454545,,,2021/8/5
4061,CN-330,HERSHEY SHA KQ0 PKG,CR,快消/零售行业事业部,HERSH,HERSH,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,15,143.19,96,47.19,0,143.19,0,,0.32956212,9.546,,,2021/8/5
4062,CN-378,STARBUCKS CTU FDX WHS,CR,快消/零售行业事业部,STARB,STARB,572,20210728,202131,202107,202103,2021,0,7,7,19344,19344,23760.1056,4.5597,520,3187,32811,32811,36707.0273,,,,276,2205,319172,0,13261,,,,,,,,1.696184864,,,0.482517483,0.517482517,2021/8/5
4063,CN-389,OUTERSTUFF SHA DQ0 WHS,CR,快消/零售行业事业部,OUTSF,OUTSF,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,8.65,0,8.65,0,8.65,0,,1,8.65,,,2021/8/5
4064,CN-403,HONOR DGM HMX WHS,TSC,高科技/备件物流/化工行业事业部,HONOR,HONOR,92782,20210715,202129,202107,202103,2021,0,319,693,166000000,166000000,,,2174,2309,210000000,254000000,,,,,27862,50506,26000000000,34900000,40900000,82,924.77,827.5,97.27,0,901.5,23.27,1.527321438,0.10518291,11.27768293,0.300295316,0.699704684,2021/8/5
4065,CN-404,HL-COSTA PEK XXX WHS,EM,工业与制造行业事业部,HLCOS,HLCOS,,20210729,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,2,20,0,20,0,20,0,,1,10,,,2021/8/5
4066,CN-418,HP SHA YX0 WHS,TSC,高科技/备件物流/化工行业事业部,HPIPS,HPIPS,,20210730,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,14.87,0,0,14.87,14.87,0,,0,14.87,,,2021/8/5
4067,CN-428,LAM SHA XXX WHS,TSC,高科技/备件物流/化工行业事业部,LAMRE,LAMRE,2933,20210702,202127,202107,202103,2021,0,1,5,10,10,,,6,10,21,21,0,0,,,2625,11750,93061,0,0,4,35.02,0,35.02,0,35.02,0,2.1,1,8.755,0.894988067,0.105011933,2021/8/5
4068,CN-428,LAM SHA XXX WHS,TSC,高科技/备件物流/化工行业事业部,LAMRE,LAMRE,2933,20210725,202130,202107,202103,2021,1,,,,,,,,,,,,,,,2656,11743,91630,0,0,,,,,,,,,,,0.90555745,0.09444255,2021/8/5
4069,CN-435,SKF SHA WGQ WHS,TSC,高科技/备件物流/化工行业事业部,SKFSH,SKFSH,,20210726,202131,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,67,552.59,471,81.59,0,552.59,0,,0.147650157,8.24761194,,,2021/8/5
4070,HK-043,REVLON HKG MTL WHS,,,REVL1,REVL1,,20210707,202128,202107,202103,2021,0,,,,,,,19,298,959,692,0,0,,,,,,,,,,,,,,,,,,,,2021/8/5
4071,HK-047,TE HKG ITL WHS,,,TE001,TE001,8622,20210707,202128,202107,202103,2021,0,128,817,12100000,80242.25794,12600000,24.9046,663,784,14700000,15000000,20800000,,,,1245,16074,59800000,0,27900000,,,,,,,,186.3983066,,,0.144398051,0.855601949,2021/8/5
4072,HK-074,SMART-NORA HKG ITL WHS,,,SMART,SMART,110,20210728,202131,202107,202103,2021,0,,,,,,,,,,,,,,,3,7,12,0,0,,,,,,,,,,,0.027272727,0.972727273,2021/8/5
4073,TD026,,,,,,,20210720,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,8,82.87,14.77,68.1,0,82.87,0,,0.821769036,10.35875,,,2021/8/5
4074,TD028,,,,,,,20210719,202130,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,1,8,0,8,0,8,0,,1,8,,,2021/8/5
4075,TD036,,,,,,,20210709,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,33.35,0,33.35,0,23,10.35,,1,11.11666667,,,2021/8/5
4076,TD039,,,,,,,20210706,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,6,51.76,8.12,43.64,0,51.76,0,,0.843122102,8.626666667,,,2021/8/5
4077,TD046,,,,,,,20210709,202128,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,12,100.17,25,75.17,0,100.17,0,,0.750424279,8.3475,,,2021/8/5
4078,TD050,,,,,,,20210702,202127,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,3,25.92,17.92,8,0,25.92,0,,0.308641975,8.64,,,2021/8/5
4079,TD050,,,,,,,20210713,202129,202107,202103,2021,0,,,,,,,,,,,,,,,,,,,,4,34.88,18.1,16.78,0,26.1,8.78,,0.481077982,8.72,,,2021/8/5
